Sampling_type,SiteName,siteID,site_group,SiteID,site_num,Fluoride,Chloride,Nitrite,Bromide,NitrateN,PhosphateP,Sulfate,NH4N
River,Sevilleta,Sl_59,Sl,Sevilleta_59,59,.,26.84,.,0.01,0.92,0.19,82.04,0
South,Sevilleta,Sl_60,Sl,Sevilleta_60,60,.,1888.53,.,0.33,0.85,0,1188.84,2.27
West,Sevilleta,Sl_61,Sl,Sevilleta_61,61,.,530.82,.,0,0.33,0,397.54,0.95
Ditch,Sevilleta,Sl_62,Sl,Sevilleta_62,62,0.91,247.874,0,0.6541,1.1647,0.306,370.34,
East well,Sevilleta,Sl_63,Sl,Sevilleta_63,63,0.769,1044.376,0,5.7269,0,0,93.27,
North well,Sevilleta,Sl_64,Sl,Sevilleta_64,64,0.7752,983.415,0,7.3855,5.6829,0,131.38,
River,Sevilleta,Sl_65,Sl,Sevilleta_65,65,1.0378,30.114,0.8503,0.6684,3.7647,0.4499,91.2,
South well,Sevilleta,Sl_66,Sl,Sevilleta_66,66,.,.,.,.,.,.,.,
West well,Sevilleta,Sl_67,Sl,Sevilleta_67,67,1.1548,550.195,0,3.5434,2.6265,0,121.23,
Ditch,Sevilleta,Sl_68,Sl,Sevilleta_68,68,1.3697,43.778,0,0,0.5932,0,0,
East well,Sevilleta,Sl_69,Sl,Sevilleta_69,69,1.2409,178.089,0,3.8169,2.9902,0,0,
North well,Sevilleta,Sl_70,Sl,Sevilleta_70,70,1.397,1148.567,0,3.6227,3.7154,0,0,
River,Sevilleta,Sl_71,Sl,Sevilleta_71,71,1.5709,18.359,0.3318,0.1708,2.3858,1.3755,52.3245,
South well,Sevilleta,Sl_72,Sl,Sevilleta_72,72,1.1004,143.441,0,2.53,1.3737,0,0,
West well,Sevilleta,Sl_73,Sl,Sevilleta_73,73,1.4634,765.823,0,1.8364,1.155,0,0,
Ditch,Sevilleta,Sl_74,Sl,Sevilleta_74,74,0.6,26.83,0,0.51,1.93,1.07,101.06,
East well,Sevilleta,Sl_75,Sl,Sevilleta_75,75,0.0821,1088.3139,680.7344,1.3858,0.2606,2371.6693,87.4174,
North well,Sevilleta,Sl_76,Sl,Sevilleta_76,76,0.9217,573.4032,2092.3244,1.1268,0.2154,1860.9759,84.8798,
River,Sevilleta,Sl_77,Sl,Sevilleta_77,77,0.64,32.19,0,0.42,2.92,0.88,0.04,
South well,Sevilleta,Sl_78,Sl,Sevilleta_78,78,0.2823,1520.909,730.9562,2.2037,0.5897,2737.1708,83.9807,
West well,Sevilleta,Sl_79,Sl,Sevilleta_79,79,0.3673,273.5031,2340.1689,1.1596,0.3597,1915.9243,71.6282,
Ditch,Sevilleta,Sl_80,Sl,Sevilleta_80,80,0.7088,95.667,0,0.6638,1.9882,0.1653,240.1252,
East well,Sevilleta,Sl_81,Sl,Sevilleta_81,81,0,2337,0,4.6747,2.3086,0,1706,
North well,Sevilleta,Sl_82,Sl,Sevilleta_82,82,0,2160,0,4.88,1.9745,0,1569,
River,Sevilleta,Sl_83,Sl,Sevilleta_83,83,0.8826,30.496,0,0.8869,3.7257,0.9677,104.6899,
South well,Sevilleta,Sl_84,Sl,Sevilleta_84,84,0,2482,0,3.3847,0,0,1764,
West well,Sevilleta,Sl_85,Sl,Sevilleta_85,85,0.758,1285,0,5.0809,2.1847,0,1039,
Ditch,Sevilleta,Sl_86,Sl,Sevilleta_86,86,0.8941,38.517,1.3235,0.1917,2.6837,0.8598,122.0688,
East well,Sevilleta,Sl_87,Sl,Sevilleta_87,87,1.4258,2003,0,3.4136,2.3803,0,2242,
North well,Sevilleta,Sl_88,Sl,Sevilleta_88,88,1.2829,1319,0,1.8421,1.6456,0,1308,
River,Sevilleta,Sl_89,Sl,Sevilleta_89,89,0.8902,33.012,1.4227,0.6084,3.2238,1.812,66.8429,
South well,Sevilleta,Sl_90,Sl,Sevilleta_90,90,0.6198,1783,0,11.1575,10.1293,0,1936,
West well,Sevilleta,Sl_91,Sl,Sevilleta_91,91,1.4288,1385,0,6.5302,4.0503,0,1453,
Ditch,Sevilleta,Sl_92,Sl,Sevilleta_92,92,0.2515,36.443,0,0.1178,2.276,0.248,134.178,
East well,Sevilleta,Sl_93,Sl,Sevilleta_93,93,0.062,3095.146,0,20.8623,19.7019,0,2391.9528,
North well,Sevilleta,Sl_94,Sl,Sevilleta_94,94,0.8771,1633.344,0.8721,5.1007,0,0,2128.7511,
River,Sevilleta,Sl_95,Sl,Sevilleta_95,95,0.3486,58.412,70.402,0.2458,3.1381,0,226.0591,
South well,Sevilleta,Sl_96,Sl,Sevilleta_96,96,0.4372,197.266,0,14.879,9.0531,0,163.5701,
West well,Sevilleta,Sl_97,Sl,Sevilleta_97,97,0.4533,897.805,0,7.1555,2.7237,0,867.0259,
Center well,State Land Office,So_1,So,StateLandO_1,1,1.3007,112.515,0,0.3657,0.3388,0.9008,344.99,
Ditch,State Land Office,So_2,So,StateLandO_2,2,0.8617,21.731,0.1723,0,0.7522,0.412,77.82,
East well,State Land Office,So_3,So,StateLandO_3,3,.,.,.,.,.,.,.,
North well,State Land Office,So_4,So,StateLandO_4,4,0.8705,29.795,0,0.4064,0.7451,0.9623,80.15,
River,State Land Office,So_5,So,StateLandO_5,5,0.8386,22.046,0,0,3.5856,0.7601,61.3,
South well,State Land Office,So_6,So,StateLandO_6,6,1.0774,64.521,0,0.544,0.5246,0.6786,129.75,
West well,State Land Office,So_7,So,StateLandO_7,7,0.868,39.56,0,0.2133,0.0972,0.4553,105.59,
Center well,State Land Office,So_8,So,StateLandO_8,8,1.4277,101.391,0,0.8328,1.4244,1.259,0,
Ditch,State Land Office,So_9,So,StateLandO_9,9,0.8675,17.022,0,0.1929,1.4058,1.0084,61.4759,
East well,State Land Office,So_10,So,StateLandO_10,10,1.3324,72.908,0,0.6016,0.7872,1.0183,0,
North well,State Land Office,So_11,So,StateLandO_11,11,0.9053,47.235,0,0.3543,0.8205,1.0478,96.87,
River,State Land Office,So_12,So,StateLandO_12,12,0.9022,15.169,0,0.1822,2.5898,1.1239,42.5724,
South well,State Land Office,So_13,So,StateLandO_13,13,1.3339,102.669,0,0.7066,1.1672,0,0,
West well,State Land Office,So_14,So,StateLandO_14,14,1.1454,50.516,0,0.7273,1.485,1.5279,100.8349,
Center well,State Land Office,So_15,So,StateLandO_15,15,0.5664,13.4746,0,0.1816,0.1614,0.4876,84.0914,
Ditch,State Land Office,So_16,So,StateLandO_16,16,0.4307,22.1545,0,0.675,1.6772,1.9463,49.0446,
East well,State Land Office,So_17,So,StateLandO_17,17,1.3564,89.6178,0,0.2483,0.0559,0.1758,174.4352,
North well,State Land Office,So_18,So,StateLandO_18,18,0.8571,33.6227,0,0.6055,1.0919,1.3156,77.5259,
River,State Land Office,So_19,So,StateLandO_19,19,0.3042,37.3426,1.1124,0.4676,3.9953,0.9609,123.8446,
South well,State Land Office,So_20,So,StateLandO_20,20,1.2362,73.3426,0,0.6083,0.4711,0.3612,81.2578,
West well,State Land Office,So_21,So,StateLandO_21,21,0.7364,36.8073,0,0.6359,0.8985,0.9722,72.0767,
Center well,State Land Office,So_22,So,StateLandO_22,22,1.0359,87.014,0.2297,0.7226,0.8062,0.1845,194.0081,
Ditch,State Land Office,So_23,So,StateLandO_23,23,0.8356,17.061,0.3613,0.8929,2.0769,0.7602,71.4017,
East well,State Land Office,So_24,So,StateLandO_24,24,1.1538,0,0,0.8877,0.8195,0.5392,243.0328,
North well,State Land Office,So_25,So,StateLandO_25,25,0.8506,32.331,0,0.9561,1.423,0.9305,84.9,
River,State Land Office,So_26,So,StateLandO_26,26,0.8672,34.318,0.3063,0.9099,5.5618,2.1693,73.9893,
South well,State Land Office,So_27,So,StateLandO_27,27,1.4749,63.02,0,0.6657,0.8064,0.6506,109.2287,
West well,State Land Office,So_28,So,StateLandO_28,28,0.8279,35.355,0,0.9366,1.3724,0.7162,92.3382,
Center well,State Land Office,So_29,So,StateLandO_29,29,0.9037,92.793,0,0.3456,1.4489,0.5578,176.0928,
Ditch,State Land Office,So_30,So,StateLandO_30,30,1.0105,20.023,1.2807,0.1922,1.9609,0.7631,63.3296,
East well,State Land Office,So_31,So,StateLandO_31,31,1.0227,68.449,0,0.3808,1.5072,0.9827,155.3375,
North well,State Land Office,So_32,So,StateLandO_32,32,0.9156,36.601,0,0.1968,1.4579,0.8678,83.8721,
River,State Land Office,So_33,So,StateLandO_33,33,0.8121,22.914,1.1283,0.0689,3.1058,1.2013,39.8409,
South well,State Land Office,So_34,So,StateLandO_34,34,1.3487,93.6,0,0.3309,1.5,0.399,163,
West well,State Land Office,So_35,So,StateLandO_35,35,0.9399,46.36,0,0.2328,1.4952,0.7226,89.2357,
Center well,State Land Office,So_36,So,StateLandO_36,36,1.1055,131.771,0,1.5895,0.4838,0,229.4878,
Ditch,State Land Office,So_37,So,StateLandO_37,37,0.2678,13.794,0,0.1189,0.9168,0,50.2985,
East well,State Land Office,So_38,So,StateLandO_38,38,0.7207,56.412,0,0.5992,0.0433,0.6186,119.0509,
North well,State Land Office,So_39,So,StateLandO_39,39,0.4137,29.487,0,0.5211,0.1338,0.3869,59.1528,
River,State Land Office,So_40,So,StateLandO_40,40,0.0445,18.327,0,0.0642,1.2163,0,137.9119,
South well,State Land Office,So_41,So,StateLandO_41,41,1.4583,52.152,0,0.7259,0.2174,0.0277,87.8236,
West well,State Land Office,So_42,So,StateLandO_42,42,0.4035,31.209,0,0.5305,0.0543,0.3106,76.031,
Center,Valencia Clear,Vc_1,Vc,ValenciaClear_1,1,.,42.12,.,0.15,0.01,0,136.16,0.08
East,Valencia Clear,Vc_2,Vc,ValenciaClear_2,2,.,59.46,.,0.16,0.02,0.09,174.08,0.09
North,Valencia Clear,Vc_3,Vc,ValenciaClear_3,3,.,87.47,.,0.21,0.02,0.15,175.49,0.15
South,Valencia Clear,Vc_4,Vc,ValenciaClear_4,4,.,56.19,.,0.17,0.02,0,161.34,0.1
West,Valencia Clear,Vc_5,Vc,ValenciaClear_5,5,.,58.54,.,0.18,0.02,0.08,167.35,0.17
Center,Valencia Clear,Vc_6,Vc,ValenciaClear_6,6,.,37.17,.,0.14,0.01,0.03,119.99,0.03
East,Valencia Clear,Vc_7,Vc,ValenciaClear_7,7,.,41.7,.,0.14,0.02,0.13,126.04,0.07
North,Valencia Clear,Vc_8,Vc,ValenciaClear_8,8,.,74.71,.,0.17,0.02,0.12,131.74,0.15
South,Valencia Clear,Vc_9,Vc,ValenciaClear_9,9,.,50.32,.,0.15,0.02,0.04,156.5,0.07
West,Valencia Clear,Vc_10,Vc,ValenciaClear_10,10,.,55.68,.,0.16,0.02,0.1,107.9,0.18
Center,Valencia Clear,Vc_11,Vc,ValenciaClear_11,11,.,21.45,.,0.12,0.01,0.07,59.1,0.04
East,Valencia Clear,Vc_12,Vc,ValenciaClear_12,12,.,28.91,.,0.13,0.01,0.17,100.72,0.05
North,Valencia Clear,Vc_13,Vc,ValenciaClear_13,13,.,31.24,.,0.18,0.01,0.21,92.2,0.05
South,Valencia Clear,Vc_14,Vc,ValenciaClear_14,14,.,50.75,.,0.19,0.01,0.12,157.22,0.08
West,Valencia Clear,Vc_15,Vc,ValenciaClear_15,15,.,28.07,.,0.15,0.01,0.11,65.16,0.08
Center,Valencia Clear,Vc_16,Vc,ValenciaClear_16,16,.,189.1,.,0.59,0.01,0,439.58,0.05
East,Valencia Clear,Vc_17,Vc,ValenciaClear_17,17,.,25.93,.,0.11,0.01,0.07,86.53,0.05
North,Valencia Clear,Vc_18,Vc,ValenciaClear_18,18,.,728.33,.,0,0,0,1418.35,0.24
South,Valencia Clear,Vc_19,Vc,ValenciaClear_19,19,.,287.89,.,0.33,0.02,0,488.73,0.18
West,Valencia Clear,Vc_20,Vc,ValenciaClear_20,20,.,359.09,.,0,0,0,1043.52,0.79
Center,Valencia Clear,Vc_21,Vc,ValenciaClear_21,21,.,28.19,.,0.28,0.02,0,45.76,0.02
East,Valencia Clear,Vc_22,Vc,ValenciaClear_22,22,.,30.75,.,0.15,0.02,0.15,107.96,0.04
North,Valencia Clear,Vc_23,Vc,ValenciaClear_23,23,.,44.74,.,0.32,0.01,0,86.02,0.11
South,Valencia Clear,Vc_24,Vc,ValenciaClear_24,24,.,33.47,.,0.3,0.02,0.07,45.82,0.16
West,Valencia Clear,Vc_25,Vc,ValenciaClear_25,25,.,62.65,.,0.2,0.02,0.16,136.79,0.42
Center,Valencia Clear,Vc_26,Vc,ValenciaClear_26,26,.,98.64,.,0.27,0.02,0,158.55,0.04
East,Valencia Clear,Vc_27,Vc,ValenciaClear_27,27,.,29.99,.,0.13,0.02,0.14,103.53,0.04
North,Valencia Clear,Vc_28,Vc,ValenciaClear_28,28,.,119.44,.,0.28,0.03,0.1,220.18,0.1
South,Valencia Clear,Vc_29,Vc,ValenciaClear_29,29,.,116.69,.,0.25,0.02,0.1,201.51,0.2
West,Valencia Clear,Vc_30,Vc,ValenciaClear_30,30,.,158.99,.,0.28,0.04,0.02,321.47,0.4
Center,Valencia Clear,Vc_31,Vc,ValenciaClear_31,31,.,36.97,.,0.16,0.06,0.05,124.21,0.01
East,Valencia Clear,Vc_32,Vc,ValenciaClear_32,32,.,27.53,.,0.14,0.09,0.26,95.19,0.01
North,Valencia Clear,Vc_33,Vc,ValenciaClear_33,33,.,27.48,.,0.15,0.04,0.17,93.76,0
South,Valencia Clear,Vc_34,Vc,ValenciaClear_34,34,.,47.89,.,0.15,0.03,0.03,198.26,0.03
West,Valencia Clear,Vc_35,Vc,ValenciaClear_35,35,.,30.62,.,0.14,0.06,0.28,58.52,0.01
Center,Valencia Clear,Vc_36,Vc,ValenciaClear_36,36,.,1025.41,.,2.25,0.32,0.16,2710.53,0.32
East,Valencia Clear,Vc_37,Vc,ValenciaClear_37,37,.,40.74,.,0.09,0.05,0.17,121.67,0.05
North,Valencia Clear,Vc_38,Vc,ValenciaClear_38,38,.,1095.57,.,1.07,1.97,0.07,1841.29,0.27
South,Valencia Clear,Vc_39,Vc,ValenciaClear_39,39,.,1301.7,.,1.68,0.44,0.71,2145.85,0.14
West,Valencia Clear,Vc_40,Vc,ValenciaClear_40,40,.,725.36,.,0.37,0.18,0.46,1863.13,0.63
Center,Valencia Clear,Vc_41,Vc,ValenciaClear_41,41,.,58.65,.,0,0.05,0.01,155.42,0.02
East,Valencia Clear,Vc_42,Vc,ValenciaClear_42,42,.,43.15,.,0.12,0.03,0.14,146.55,0.09
North,Valencia Clear,Vc_43,Vc,ValenciaClear_43,43,.,137.81,.,0.29,0.04,0.09,332.39,0.07
West,Valencia Clear,Vc_44,Vc,ValenciaClear_44,44,.,57.8,.,0.15,0.03,0.12,132.08,0.4
South,Valencia Clear,Vc_45,Vc,ValenciaClear_45,45,.,.,.,.,.,.,.,.
Center,Valencia Forest,Vf_1,Vf,ValenciaForest_1,46,.,35.86,.,0.16,0.02,0.04,131.56,0.14
East,Valencia Forest,Vf_2,Vf,ValenciaForest_2,47,.,58.33,.,0.29,0.02,0.01,238.67,0.58
North,Valencia Forest,Vf_3,Vf,ValenciaForest_3,48,.,42.38,.,0.16,0.02,0.06,152.14,0.25
South,Valencia Forest,Vf_4,Vf,ValenciaForest_4,49,.,47.28,.,0.17,0.02,0.01,177.59,0.19
West,Valencia Forest,Vf_5,Vf,ValenciaForest_5,50,.,58.11,.,0.17,0.02,0.04,174.92,0.15
Center,Valencia Forest,Vf_6,Vf,ValenciaForest_6,51,.,55.18,.,0.18,0.02,0.02,236.63,0.15
East,Valencia Forest,Vf_7,Vf,ValenciaForest_7,52,.,71.66,.,0.38,0.09,0.07,290.23,0.48
North,Valencia Forest,Vf_8,Vf,ValenciaForest_8,53,.,39.69,.,0.13,0.01,0.05,138.07,0.2
South,Valencia Forest,Vf_9,Vf,ValenciaForest_9,54,.,54.91,.,0.17,0.01,0.02,164.92,0.15
West,Valencia Forest,Vf_10,Vf,ValenciaForest_10,55,.,49.74,.,0.16,0.02,0.05,160.4,0.15
Center,Valencia Forest,Vf_11,Vf,ValenciaForest_11,56,.,26.76,.,0.17,0.01,0.09,100.02,0.14
East,Valencia Forest,Vf_12,Vf,ValenciaForest_12,57,.,45.4,.,0.2,0,0.02,134.87,0.38
North,Valencia Forest,Vf_13,Vf,ValenciaForest_13,58,.,31.36,.,0.16,0.02,0.1,108.35,0.21
South,Valencia Forest,Vf_14,Vf,ValenciaForest_14,59,.,41.9,.,0.18,0.01,0.02,114.77,0.17
West,Valencia Forest,Vf_15,Vf,ValenciaForest_15,60,.,28.23,.,0.14,0.01,0.03,83.97,0.12
Center,Valencia Forest,Vf_16,Vf,ValenciaForest_16,61,.,26.29,.,0.12,0.01,0.07,87.97,0.13
East,Valencia Forest,Vf_17,Vf,ValenciaForest_17,62,.,36.57,.,0.11,0.01,0,135.08,0.28
North,Valencia Forest,Vf_18,Vf,ValenciaForest_18,63,.,26.79,.,0.1,0.02,0,84.54,0.15
South,Valencia Forest,Vf_19,Vf,ValenciaForest_19,64,.,26.55,.,0.13,0.03,0,94.62,0.11
West,Valencia Forest,Vf_20,Vf,ValenciaForest_20,65,.,27.6,.,0.12,0.01,0.06,85.67,0.07
Center,Valencia Forest,Vf_21,Vf,ValenciaForest_21,66,.,34.1,.,0.16,0.02,0.05,118.79,0.11
East,Valencia Forest,Vf_22,Vf,ValenciaForest_22,67,.,218.06,.,0.74,0.02,0,839,0.88
North,Valencia Forest,Vf_23,Vf,ValenciaForest_23,68,.,27.98,.,0.15,0.02,0.09,96.89,0.1
South,Valencia Forest,Vf_24,Vf,ValenciaForest_24,69,.,22.48,.,0.23,0.02,0.01,89.57,0.14
West,Valencia Forest,Vf_25,Vf,ValenciaForest_25,70,.,41.82,.,0.17,0.02,0.02,140.34,0.09
Center,Valencia Forest,Vf_26,Vf,ValenciaForest_26,71,.,42.17,.,0.16,0.01,0.06,146.18,0.11
East,Valencia Forest,Vf_27,Vf,ValenciaForest_27,72,.,82.07,.,0.29,0.03,0.01,317.05,0.45
North,Valencia Forest,Vf_28,Vf,ValenciaForest_28,73,.,27.68,.,0.13,0.05,0.11,96.65,0.11
South,Valencia Forest,Vf_29,Vf,ValenciaForest_29,74,.,73.96,.,0.26,0.04,0.01,312.55,0.22
West,Valencia Forest,Vf_30,Vf,ValenciaForest_30,75,.,36.74,.,0.14,0.04,0.06,118.89,0.07
Center,Valencia Forest,Vf_31,Vf,ValenciaForest_31,76,.,26.83,.,0.14,0.02,0.12,95.9,0.03
East,Valencia Forest,Vf_32,Vf,ValenciaForest_32,77,.,60.78,.,0.24,0.07,0.08,185.75,0.2
North,Valencia Forest,Vf_33,Vf,ValenciaForest_33,78,.,35.38,.,0.16,0.1,0.18,115.97,0.04
South,Valencia Forest,Vf_34,Vf,ValenciaForest_34,79,.,35.11,.,0.13,0.05,0.02,117.59,0
West,Valencia Forest,Vf_35,Vf,ValenciaForest_35,80,.,36.16,.,0.14,0.07,0.06,110.03,0.02
Center,Valencia Forest,Vf_36,Vf,ValenciaForest_36,81,.,27.89,.,0.1,0.03,0.08,99.53,0.19
East,Valencia Forest,Vf_37,Vf,ValenciaForest_37,82,.,49.5,.,0.06,0.05,0.01,197.27,0.64
North,Valencia Forest,Vf_38,Vf,ValenciaForest_38,83,.,25.75,.,0.16,0.04,0.17,89.93,0.2
South,Valencia Forest,Vf_39,Vf,ValenciaForest_39,84,.,45.69,.,0.17,0.02,0.02,181.25,0.27
West,Valencia Forest,Vf_40,Vf,ValenciaForest_40,85,.,38.85,.,0.15,0.04,0.07,136.29,0.1
Center,Valencia Forest,Vf_41,Vf,ValenciaForest_41,86,.,46.23,.,0.04,0.05,0.04,140.45,0.25
East,Valencia Forest,Vf_42,Vf,ValenciaForest_42,87,.,74.96,.,0.32,0.03,0.02,274.95,0.88
North,Valencia Forest,Vf_43,Vf,ValenciaForest_43,88,.,58.23,.,0.2,0.04,0.14,139.88,0.33
West,Valencia Forest,Vf_44,Vf,ValenciaForest_44,89,.,32.43,.,0.15,0.04,0.07,123.03,0.12
South,Valencia Forest,Vf_45,Vf,ValenciaForest_45,90,.,48.06,.,0.17,0.05,0.2,154.19,0.13
Center,Valencia Forest,Vf_46,Vf,ValenciaForest_46,91,.,24.85,.,0.45,0.69,0,107.97,.
East,Valencia Forest,Vf_47,Vf,ValenciaForest_47,92,.,26.94,.,0.61,0.57,0,117.91,.
North,Valencia Forest,Vf_48,Vf,ValenciaForest_48,93,.,24.34,.,0.43,0.37,0,107.27,.
South,Valencia Forest,Vf_49,Vf,ValenciaForest_49,94,.,24.61,.,0.58,0.4,0,110.65,.
West,Valencia Forest,Vf_50,Vf,ValenciaForest_50,95,.,24.19,.,0.63,0.46,0,93.55,.
Center,Valencia Forest,Vf_51,Vf,ValenciaForest_51,96,.,23.89,.,0.46,0.34,0,113.01,.
East,Valencia Forest,Vf_52,Vf,ValenciaForest_52,97,.,25.37,.,0.68,0.43,0,105.47,.
North,Valencia Forest,Vf_53,Vf,ValenciaForest_53,98,.,24.15,.,0.45,0.33,0,102.91,.
South,Valencia Forest,Vf_54,Vf,ValenciaForest_54,99,.,24.9,.,0.69,0.61,0,100.48,.
West,Valencia Forest,Vf_55,Vf,ValenciaForest_55,100,.,24.42,.,0.47,0.34,0,108.21,.
Center,Valencia Forest,Vf_56,Vf,ValenciaForest_56,101,0.9782,29.46,.,0.76,0,0,120.65,.
East,Valencia Forest,Vf_57,Vf,ValenciaForest_57,102,0.7969,27.81,.,0.4,0,0,107.44,.
North,Valencia Forest,Vf_58,Vf,ValenciaForest_58,103,0.566,16.13,.,0.35,0,0,63.5,.
South,Valencia Forest,Vf_59,Vf,ValenciaForest_59,104,0.682,16.15,.,0.35,0,0,61.35,.
West,Valencia Forest,Vf_60,Vf,ValenciaForest_60,105,0.8774,30.34,.,0.6,0.19,0,122.49,.
